电影名	评分	评价人次	短评	
地球上的星星	8.9	98565人评价	天使保护事件始末。	
魔女宅急便	8.5	225506人评价	宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。	
完美陌生人	8.6	247061人评价	来啊，互相伤害啊！	
谍影重重	8.5	220646人评价	哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。	
谍影重重2	8.6	183261人评价	谁说王家卫镜头很晃？	
牯岭街少年杀人事件	8.8	123603人评价	弱者送给弱者的一刀。	
哪吒闹海	8.9	96338人评价	想你时你在闹海。	
梦之安魂曲	8.7	126104人评价	一场没有春天的噩梦。	
青蛇	8.5	256930人评价	人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。	
惊魂记	8.9	98278人评价	故事的反转与反转，分裂电影的始祖。	
黑客帝国3：矩阵革命	8.6	181570人评价	不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。	
小萝莉的猴神大叔	8.5	202645人评价	宝莱坞的萝莉与大叔。	
再次出发之纽约遇见你	8.5	201346人评价	爱我就给我看你的播放列表。	
东京物语	9.2	60026人评价	东京那么大，如果有一天走失了，恐怕一辈子不能再相见。	
新龙门客栈	8.5	214018人评价	嬉笑怒骂，调风动月。	
海街日记	8.7	164896人评价	是枝裕和的家庭习作。	
步履不停	8.8	104630人评价	日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。	
源代码	8.4	453470人评价	邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。	
终结者2：审判日	8.6	161398人评价	少见的超越首部的续集，动作片中的经典。	
绿里奇迹	8.7	122109人评价	天使暂时离开。	
末路狂花	8.7	118775人评价	没有了退路，只好飞向自由。	
初恋这件小事	8.3	526493人评价	黑小鸭速效美白记。	
无敌破坏王	8.7	215002人评价	迪士尼和皮克斯拿错剧本的产物。	
秒速5厘米	8.3	345876人评价	青春就是放弃和怀念。	
城市之光	9.2	52613人评价	永远的小人物，伟大的卓别林。	
无耻混蛋	8.5	250706人评价	昆汀同学越来越变态了，比北野武还杜琪峰。	
