Created at	Mon Nov  5 10:03:13 2018
	303690人评价	简评:当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 

176	被解救的姜戈	评分:8.6
	296435人评价	简评:热血沸腾，那个低俗、性感的无耻混蛋又来了。

177	头脑特工队	评分:8.7
	273015人评价	简评:愿我们都不用长大，每一座城堡都能永远存在。

178	香水	评分:8.4
	313442人评价	简评:一个单凭体香达到高潮的男人。

179	阿飞正传	评分:8.5
	241801人评价	简评:王家卫是一种风格，张国荣是一个代表。

180	你的名字。	评分:8.4
	579361人评价	简评:穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。

181	可可西里	评分:8.7
	147681人评价	简评:坚硬的信仰。

182	恐怖游轮	评分:8.4
	378719人评价	简评:不要企图在重复中寻找已经失去的爱。

183	房间	评分:8.8
	186397人评价	简评:被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。

184	一次别离	评分:8.7
	149037人评价	简评:只有有信仰的人才能说出事实真相。

185	战争之王	评分:8.6
	194742人评价	简评:做一颗让别人需要你的棋子。

186	追随	评分:8.9
	92888人评价	简评:诺兰的牛逼来源于内心散发出的恐惧。

187	撞车	评分:8.6
	194012人评价	简评:天使与魔鬼的冲撞。

188	模仿游戏	评分:8.6
	297468人评价	简评:他给机器起名“克里斯托弗”，因为这是他初恋的名字。

189	一个叫欧维的男人决定去死	评分:8.8
	150286人评价	简评:惠及一生的美丽。

190	忠犬八公物语	评分:9.0
	73704人评价	简评:养狗三日，便会对你终其一生。

191	地球上的星星	评分:8.9
	98565人评价	简评:天使保护事件始末。

192	魔女宅急便	评分:8.5
	225506人评价	简评:宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。

193	完美陌生人	评分:8.6
	247061人评价	简评:来啊，互相伤害啊！

194	谍影重重	评分:8.5
	220646人评价	简评:哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。

195	谍影重重2	评分:8.6
	183261人评价	简评:谁说王家卫镜头很晃？

196	牯岭街少年杀人事件	评分:8.8
	123603人评价	简评:弱者送给弱者的一刀。

197	哪吒闹海	评分:8.9
	96338人评价	简评:想你时你在闹海。

198	梦之安魂曲	评分:8.7
	126104人评价	简评:一场没有春天的噩梦。

199	青蛇	评分:8.5
	256930人评价	简评:人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。

200	惊魂记	评分:8.9
	98278人评价	简评:故事的反转与反转，分裂电影的始祖。

201	黑客帝国3：矩阵革命	评分:8.6
	181570人评价	简评:不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。

202	小萝莉的猴神大叔	评分:8.5
	202645人评价	简评:宝莱坞的萝莉与大叔。

203	再次出发之纽约遇见你	评分:8.5
	201346人评价	简评:爱我就给我看你的播放列表。

204	东京物语	评分:9.2
	60026人评价	简评:东京那么大，如果有一天走失了，恐怕一辈子不能再相见。

205	新龙门客栈	评分:8.5
	214018人评价	简评:嬉笑怒骂，调风动月。

206	海街日记	评分:8.7
	164896人评价	简评:是枝裕和的家庭习作。

207	步履不停	评分:8.8
	104630人评价	简评:日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。

208	源代码	评分:8.4
	453470人评价	简评:邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。

209	终结者2：审判日	评分:8.6
	161398人评价	简评:少见的超越首部的续集，动作片中的经典。

210	绿里奇迹	评分:8.7
	122109人评价	简评:天使暂时离开。

211	末路狂花	评分:8.7
	118775人评价	简评:没有了退路，只好飞向自由。

212	初恋这件小事	评分:8.3
	526493人评价	简评:黑小鸭速效美白记。

213	无敌破坏王	评分:8.7
	215002人评价	简评:迪士尼和皮克斯拿错剧本的产物。

214	秒速5厘米	评分:8.3
	345876人评价	简评:青春就是放弃和怀念。

215	城市之光	评分:9.2
	52613人评价	简评:永远的小人物，伟大的卓别林。

216	无耻混蛋	评分:8.5
	250706人评价	简评:昆汀同学越来越变态了，比北野武还杜琪峰。

217	爱在午夜降临前	评分:8.8
	135699人评价	简评:所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。

218	这个男人来自地球	评分:8.5
	207442人评价	简评:科幻真正的魅力不是视觉效果能取代的。 

219	碧海蓝天	评分:8.7
	114789人评价	简评:在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。

220	疯狂的石头	评分:8.3
	364515人评价	简评:中国版《两杆大烟枪》。

221	勇闯夺命岛	评分:8.6
	158386人评价	简评:类型片的极致。 

222	E.T. 外星人	评分:8.5
	176055人评价	简评:生病的E.T.皮肤的颜色就像柿子饼。

223	变脸	评分:8.4
	238514人评价	简评:当发哥的风衣、墨镜出现在了凯奇身上⋯⋯

224	卡萨布兰卡	评分:8.6
	139589人评价	简评:世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。

225	海盗电台	评分:8.6
	179491人评价	简评:生命不止，摇滚不死。

226	发条橙	评分:8.5
	206015人评价	简评:我完全康复了。

227	黄金三镖客	评分:9.1
	59329人评价	简评:最棒的西部片。

228	彗星来的那一夜	评分:8.4
	216288人评价	简评:小成本大魅力。

229	美国丽人	评分:8.5
	206839人评价	简评:每个人的内心都是深不可测的大海。 

230	聚焦	评分:8.8
	147194人评价	简评:新闻人的理性求真。

231	血钻	评分:8.5
	154550人评价	简评:每个美丽事物背后都是滴血的现实。

232	荒野生存	评分:8.6
	142317人评价	简评:出门必备：本草纲目。

233	国王的演讲	评分:8.3
	380357人评价	简评:皇上无话儿。

234	非常嫌疑犯	评分:8.6
	134487人评价	简评:我不信仰上帝，但我敬畏上帝。

235	英国病人	评分:8.5
	190193人评价	简评:In memory, love lives forever...

236	迁徙的鸟	评分:9.1
	55927人评价	简评:最美的飞翔。

237	黑鹰坠落	评分:8.6
	135222人评价	简评:还原真实而残酷的战争。

238	我爱你	评分:9.0
	67592人评价	简评:你要相信，这世上真的有爱存在，不管在什么年纪 

239	勇士	评分:8.9
	95918人评价	简评:热血沸腾，相当完美的娱乐拳击大餐。

240	遗愿清单	评分:8.5
	150742人评价	简评:用剩余不多的时间，去燃烧整个生命。

241	荒岛余生	评分:8.5
	154804人评价	简评:一个人的独角戏。

242	燕尾蝶	评分:8.6
	115092人评价	简评:现实与童话交相辉映的旅程。

243	枪火	评分:8.7
	112615人评价	简评:一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。

244	2001太空漫游	评分:8.7
	110461人评价	简评:现代科幻电影的开山之作，最伟大导演的最伟大影片。

245	叫我第一名	评分:8.6
	119828人评价	简评:乐观比一切都有力量。

246	穆赫兰道	评分:8.3
	259586人评价	简评:大卫·林奇的梦境迷宫。

247	千钧一发	评分:8.7
	99814人评价	简评:一部能引人思考的科幻励志片。

248	上帝也疯狂	评分:8.7
	105507人评价	简评:纯净原始的笑与感动。

249	大卫·戈尔的一生	评分:8.6
	109334人评价	简评:捍卫人权只是信仰，一点不妨碍其行为的残忍。

250	蓝色大门	评分:8.3
	294464人评价	简评:青春的窃窃私语。 

